"","state","year","x.rfbmi5","High.2018"
"285","New Hampshire",2014,0.635745326531293,7.67
"286","New Jersey",2014,0.631397122635114,8.73
"287","New Mexico",2014,0.648635831725594,7.93
"288","New York",2014,0.610981102680904,8.46
"289","North Carolina",2014,0.655762675830697,7.67
"290","North Dakota",2014,0.687764736867652,7.67
"291","Ohio",2014,0.667066752893615,8.41
"292","Oklahoma",2014,0.682038552018756,7.67
"293","Oregon",2014,0.617148783236085,9.63
"294","Pennsylvania",2014,0.640801956932729,7.67
"295","Rhode Island",2014,0.62426162780537,8.46
"296","South Carolina",2014,0.670319501818195,7.67
"297","South Dakota",2014,0.651790737712289,7.67
"298","Tennessee",2014,0.671114693905775,7.67
"299","Texas",2014,0.678373152427435,7.67
"300","Utah",2014,0.595197035247824,7.67
"301","Vermont",2014,0.602056833904864,9.23
"302","Virginia",2014,0.647190852269317,7.67
"303","Washington",2014,0.633901759714502,9.86
"304","West Virginia",2014,0.696094115466007,7.67
"305","Wisconsin",2014,0.674168496209045,7.67
"306","Wyoming",2014,0.6464167195765,7.67
"307","Alabama",2015,NA,7.66
"308","Alaska",2015,NA,9.24
"309","Arizona",2015,NA,8.5
"310","Arkansas",2015,NA,7.92
"311","California",2015,NA,9.51
"312","Colorado",2015,NA,8.69
"313","Connecticut",2015,NA,9.67
"314","Delaware",2015,0.668449510331156,8.72
"315","District of Columbia",2015,0.543558274958687,11.09
"316","Florida",2015,0.640624566699728,8.5
"317","Georgia",2015,0.654695309626419,7.66
"318","Hawaii",2015,0.569788314518234,8.19
"319","Idaho",2015,0.651751761023962,7.66
"320","Illinois",2015,0.662204216418854,8.72
"321","Indiana",2015,0.665103081043596,7.66
"322","Iowa",2015,0.666573968504526,7.66
"323","Kansas",2015,0.68029630902225,7.66
"324","Kentucky",2015,0.671569838142597,7.66
"325","Louisiana",2015,0.692392399290937,7.66
"326","Maine",2015,0.665438104279611,7.92
"327","Maryland",2015,0.64984147441723,8.72
"328","Massachusetts",2015,0.596810773439111,9.51
"329","Michigan",2015,0.662351130205616,8.61
"330","Minnesota",2015,0.628452110296651,9.51
"331","Mississippi",2015,0.700826485216725,7.66
"332","Missouri",2015,0.662608408879451,8.08
"333","Montana",2015,0.609574878949515,8.5
"334","Nebraska",2015,0.670145122584202,8.45
"335","Nevada",2015,0.64673158915827,8.72
"336","New Hampshire",2015,0.636410283854198,7.66
"337","New Jersey",2015,0.633931740709947,8.85
"338","New Mexico",2015,0.644852802384016,7.92
"339","New York",2015,0.595402052091002,9.24
"340","North Carolina",2015,0.658408011322307,7.66
"341","North Dakota",2015,0.669678905615893,7.66
"342","Ohio",2015,0.664602656512652,8.56
"343","Oklahoma",2015,0.68934446648095,7.66
"344","Oregon",2015,0.645214133731684,9.77
"345","Pennsylvania",2015,0.662361401604307,7.66
"346","Rhode Island",2015,0.626495545819561,9.51
"347","South Carolina",2015,0.661826789717297,7.66
"348","South Dakota",2015,0.644647452052095,8.98
"349","Tennessee",2015,0.686741079096092,7.66
"350","Texas",2015,0.686511696422346,7.66
"351","Utah",2015,0.596460082491631,7.66
"352","Vermont",2015,0.598587932180262,9.67
"353","Virginia",2015,0.641087137388237,7.66
"354","Washington",2015,0.62535724025644,10
"355","West Virginia",2015,0.71105849957508,8.45
"356","Wisconsin",2015,0.660015513434307,7.66
"357","Wyoming",2015,0.654406236146531,7.66
"358","Alabama",2016,NA,7.56
"359","Alaska",2016,NA,10.17
"360","Arizona",2016,NA,8.4
"361","Arkansas",2016,NA,8.35
"362","California",2016,NA,10.43
"363","Colorado",2016,NA,8.67
"364","Connecticut",2016,NA,10.02
"365","Delaware",2016,0.679892226327097,8.61
"366","District of Columbia",2016,0.534208075301093,12
"367","Florida",2016,0.632219367988597,8.4
"368","Georgia",2016,0.657791587239755,7.56
"369","Hawaii",2016,0.576194451884129,8.87
"370","Idaho",2016,0.644977387875415,7.56
"371","Illinois",2016,0.650385092627605,8.61
"372","Indiana",2016,0.671784326582249,7.56
"373","Iowa",2016,0.686829693281115,7.56
"374","Kansas",2016,0.667235783288773,7.56
"375","Kentucky",2016,0.690787746543646,7.56
"376","Louisiana",2016,0.692314847833294,7.56
"377","Maine",2016,0.651844166191812,7.82
"378","Maryland",2016,0.645916156456834,9.13
"379","Massachusetts",2016,0.602363598293454,10.43
"380","Michigan",2016,0.674925522592267,8.87
"381","Minnesota",2016,0.647501858790737,9.91
"382","Mississippi",2016,0.713043187544926,7.56
"383","Missouri",2016,0.672396758015646,7.98
"384","Montana",2016,0.627364536391682,8.4
"385","Nebraska",2016,0.68542936929935,9.39
"386","Nevada",2016,0.622816191445403,8.61
"387","New Hampshire",2016,0.634808822856743,7.56
"388","New Jersey",2016,0.638090485763598,8.74
"389","New Mexico",2016,0.649467085623704,7.82
"390","New York",2016,0.608285023077871,9.39
"391","North Carolina",2016,0.668479650791755,7.56
"392","North Dakota",2016,0.681077234818274,7.56
