"","state","year","at_least_hs_grad","High.2018"
"223","Louisiana",2013,82.6,7.79
"224","Maine",2013,91.1,8.06
"225","Maryland",2013,88.7,7.79
"226","Massachusetts",2013,89.4,8.6
"227","Michigan",2013,88.9,7.95
"228","Minnesota",2013,92.1,7.79
"229","Mississippi",2013,81.5,7.79
"230","Missouri",2013,87.6,7.9
"231","Montana",2013,92.1,8.38
"232","Nebraska",2013,90.5,7.79
"233","Nevada",2013,84.6,8.87
"234","New Hampshire",2013,91.8,7.79
"235","New Jersey",2013,88.1,7.79
"236","New Mexico",2013,83.6,8.06
"237","New York",2013,85.2,7.79
"238","North Carolina",2013,84.9,7.79
"239","North Dakota",2013,90.9,7.79
"240","Ohio",2013,88.5,8.44
"241","Oklahoma",2013,86.4,7.79
"242","Oregon",2013,89.4,9.62
"243","Pennsylvania",2013,88.7,7.79
"244","Rhode Island",2013,85.2,8.33
"245","South Carolina",2013,84.5,7.79
"246","South Dakota",2013,90.4,7.79
"247","Tennessee",2013,84.4,7.79
"248","Texas",2013,81.2,7.79
"249","Utah",2013,90.9,7.79
"250","Vermont",2013,91.4,9.24
"251","Virginia",2013,87.5,7.79
"252","Washington",2013,90,9.88
"253","West Virginia",2013,83.9,7.79
"254","Wisconsin",2013,90.4,7.79
"255","Wyoming",2013,92.4,7.79
"256","Alabama",2014,83.7,7.67
"257","Alaska",2014,91.8,8.2
"258","Arizona",2014,85.9,8.36
"259","Arkansas",2014,84.3,7.67
"260","California",2014,81.5,9.52
"261","Colorado",2014,90.4,8.46
"262","Connecticut",2014,89.5,9.2
"263","Delaware",2014,88,8.2
"264","District of Columbia",2014,88.9,10.05
"265","Florida",2014,86.5,8.39
"266","Georgia",2014,85,7.67
"267","Hawaii",2014,90.7,7.67
"268","Idaho",2014,89.1,7.67
"269","Illinois",2014,87.6,8.73
"270","Indiana",2014,87.6,7.67
"271","Iowa",2014,91.3,7.67
"272","Kansas",2014,90,7.67
"273","Kentucky",2014,83.5,7.67
"274","Louisiana",2014,82.8,7.67
"275","Maine",2014,91.3,7.93
"276","Maryland",2014,89,7.67
"277","Massachusetts",2014,89.5,8.46
"278","Michigan",2014,89.3,8.62
"279","Minnesota",2014,92.3,8.46
"280","Mississippi",2014,81.9,7.67
"281","Missouri",2014,88,7.93
"282","Montana",2014,92.4,8.36
"283","Nebraska",2014,90.5,7.67
"284","Nevada",2014,84.9,8.73
"285","New Hampshire",2014,92,7.67
"286","New Jersey",2014,88.4,8.73
"287","New Mexico",2014,84,7.93
"288","New York",2014,85.4,8.46
"289","North Carolina",2014,85.4,7.67
"290","North Dakota",2014,91.3,7.67
"291","Ohio",2014,88.8,8.41
