State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
Missouri,63.4,64.6,87.3,93,106.5,117.4,118.5,122.1,143.2,172.5,167,171.7,174,178.1,199,213.3,208.9,233.5,245.5,271.4,287.2,284.8,278,274.4,286.2,318.5,370,343.3,347.1,398.9,457.6,467.4,466.5,455.2,465.2,418.8,383.1,385.2,372.2,336.6,323.9,371.6,383.4,344.3,343.1,366.6,379.4,392.7,342.3,335.4,323.4,,,,
Montana,28.6,32.1,25.7,27.6,54.2,47.5,42.6,49.8,59.3,61.4,75.5,90,103.5,108.7,110.3,128.6,126.2,156.8,180.1,166.3,163.6,189.4,173,165.6,185.2,162.5,117.6,103.1,81,78.2,108.4,98.9,114.6,114.2,113.9,111.7,100.3,87.5,149.1,174,252.3,302.1,292.3,302.5,235.9,228.7,312.3,314.8,249.2,223.7,224.2,,,,
Nebraska,17.4,18.9,16.6,16,23.7,28.2,31.3,63.6,87.3,97.8,114.5,103.2,103.5,102.1,126.2,143.9,124.1,112.7,104.4,126.8,114.7,87.2,145,144,155.6,163.1,183.7,179,189.4,201.4,246.2,249.2,256.2,283.6,280.2,294.5,341.1,344.7,345.7,325.9,231.4,210,205.9,194.5,205.7,192.6,194.1,213.5,202,184.8,182.8,,,,
Nevada,50.5,62.5,77.9,62.2,110,95.2,98.5,104.7,112.6,158.9,181.7,162.9,192,251.8,344.5,316,337.4,355,351.8,351,364.9,356.1,310.7,284,278,321.7,354.5,353,405.2,306.9,290.7,286.7,291.8,463.9,569.1,548.7,436.6,425.3,326.8,276,247.3,303.4,352,335.4,357.8,361.9,414,434.2,431.4,432.5,425.5,,,,
New Hampshire,4.9,7.2,18.8,11.3,11.5,11.7,21.4,20.3,25.4,28.3,35.9,49.5,41.6,57.1,53.7,59.3,48.4,76,81.7,91.8,118,91.9,72.6,79.6,88.9,92.9,92.2,93.5,99.4,111.8,67.6,52.8,52.9,64.1,52.5,56.3,54.4,54.8,50.4,44.9,94.7,97.2,93,77.8,93.8,74.3,79.2,81.8,93.8,95.2,101,,,,
New Jersey,61.6,59.3,69.8,73.3,87.2,86.3,85.4,92.4,96.1,87.9,99,121.8,140.8,159.4,160.3,164.6,171.4,185.1,201.9,216.8,263,256.7,264.4,248.4,247.4,252,265.4,270.3,298.6,299,311.1,307.3,304.8,297.5,296.2,287.4,266.7,256.4,230,216.1,203.2,204.1,193.5,190.4,185.9,184.7,178.4,167.7,163,162.1,157.8,,,,
New Mexico,83.8,71.5,71.4,79.6,94.9,135.2,152.7,164.3,172.5,193.4,204.8,246.4,265,298.3,279.6,353.8,378.9,343.4,363.8,405.6,430.7,472.2,548.4,515.9,493.6,505.1,537.7,466.9,505.2,544.1,606.2,651.6,724.1,731.1,685.4,599.3,603.2,623.7,732,622.3,562.4,581.3,558,507.9,515.6,486.5,485.8,496.3,480.6,473.2,456.6,,,,
New York,,,,,,152,159.6,170.5,192.9,201.4,215.2,230.1,250.1,261.6,284.1,301.3,302.1,319.1,329.5,345.3,344.6,342.1,338.7,336.5,365.8,383.9,430.6,462.4,509.8,510.1,512,499.4,483.5,471.5,451.9,410,356.7,350.8,341.3,323.5,316.7,298.5,280,255,243.3,238.9,235.5,233.9,216.1,223.1,227.9,,,,
North Carolina,187,169.5,168.3,176.4,214.2,219.1,251.3,264.8,291.9,281.8,293.2,305.8,329.3,337.4,369.4,325.6,306.4,318.3,318.4,337.9,339.4,324.1,329.5,300,298.5,310.6,353.6,352.9,357.4,374.1,426.4,434.4,447.7,441.3,429.9,425.5,384.5,394.5,379.9,348.7,307,299.4,291,277.5,276.2,289.7,288.9,283.9,280.9,248.7,236.2,,,,
North Dakota,5.2,8.3,8.3,13.6,18.9,23.6,23.2,18.3,16.2,24.4,21,25.1,30.9,45.3,27.9,32.1,48.7,43.8,41.3,41.7,35.6,43.6,38.5,31.3,31.6,32.3,31.7,38.4,38,41.5,47.4,38,50.3,48.7,47.2,53,46.7,55.1,44.8,34.1,45.8,43,42.6,45.2,51.9,72.5,145.5,156.2,159.9,202.2,178.3,,,,
