"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"321",321,"0400000US18",18,"Indiana",4,8.2,34.6,20.9,8.2,15.4,8.7,87.8,24.1,26.7,12.1,10.5,4.1,"IN",2015
"322",322,"0400000US19",19,"Iowa",3.3,5.2,32.2,21.5,11.1,18.2,8.5,91.5,26.7,22.5,10.7,8.7,3.5,"IA",2015
"323",323,"0400000US20",20,"Kansas",3.9,5.9,27,24.2,8,20,11,90.2,31,23.8,12.6,9.4,3.5,"KS",2015
"324",324,"0400000US21",21,"Kentucky",6.7,9.2,33.6,20.8,7.5,13.1,9.2,84.2,22.3,32.7,16.4,12.6,4.4,"KY",2015
"325",325,"0400000US22",22,"Louisiana",5.8,10.8,33.9,21.4,5.5,14.8,7.7,83.4,22.5,31.7,16.9,12.9,4.9,"LA",2015
"326",326,"0400000US23",23,"Maine",3.1,5.3,33.2,19.9,9.5,18.7,10.3,91.6,29,27.3,14.9,10.3,4.5,"ME",2015
"327",327,"0400000US24",24,"Maryland",4.2,6.5,25.5,19.5,6.4,20.6,17.3,89.4,37.9,20.8,10.8,7.6,3.1,"MD",2015
"328",328,"0400000US25",25,"Massachusetts",4.8,5.4,25.4,16.2,7.7,22.8,17.7,89.8,40.5,25.2,12.1,8.9,4.3,"MA",2015
"329",329,"0400000US26",26,"Michigan",3.2,7.2,29.9,23.8,8.9,16.5,10.5,89.6,26.9,29.6,15.2,11.7,4.5,"MI",2015
"330",330,"0400000US27",27,"Minnesota",3.1,4.4,26.1,21.9,10.7,22.5,11.2,92.4,33.7,25.7,11.1,8,3.2,"MN",2015
"331",331,"0400000US28",28,"Mississippi",6.1,11.5,30.3,22.8,8.6,12.9,7.7,82.3,20.7,34,19.7,14.5,5.3,"MS",2015
"332",332,"0400000US29",29,"Missouri",3.7,7.9,31.3,22.6,7.4,16.9,10.2,88.4,27.1,28,13.8,11,4.5,"MO",2015
"333",333,"0400000US30",30,"Montana",2.1,5.1,30.1,24.8,8.4,20,9.5,92.8,29.5,24.7,14.4,11.8,5.1,"MT",2015
"334",334,"0400000US31",31,"Nebraska",4.1,5.2,27.5,23.9,9.9,19.6,9.7,90.7,29.3,24.9,10.9,8.8,3.5,"NE",2015
