"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"24",24,"0400000US27",27,"Minnesota",3.6,5.2,28.1,22.3,9.5,21.2,10,91.1,31.2,22.3,9.4,6.2,2.8,"MN",2009,0.632425477027512,0.0096418390689613
"25",25,"0400000US28",28,"Mississippi",7.5,13.6,31.2,21.2,7.5,12.4,6.7,78.9,19.1,32.9,17.2,11.6,4.3,"MS",2009,0.702792440353192,0.00693568925526158
"26",26,"0400000US29",29,"Missouri",4.9,9.5,33,21.6,6.4,15.6,9,85.6,24.6,24.4,11.5,8.4,3.4,"MO",2009,0.655921587589734,0.0109164673436587
"27",27,"0400000US30",30,"Montana",3.2,6.4,31.9,23.8,7.6,18.7,8.3,90.4,27,23.3,12.1,10.5,5.2,"MT",2009,0.62134613974042,0.00911994280197115
"28",28,"0400000US31",31,"Nebraska",4.3,6.1,30.3,23.4,8.9,18.5,8.5,89.7,27.1,20.7,9.6,7.7,3.3,"NE",2009,0.648267506893678,0.00869005218086106
"29",29,"0400000US32",32,"Nevada",6.5,9.8,29.9,25.1,7.3,14.3,7.2,83.7,21.5,17.1,9.2,6.9,4.3,"NV",2009,0.630234023507608,0.0140653594669834
"30",30,"0400000US33",33,"New Hampshire",3,6.5,30.2,18.7,9.2,20.9,11.6,90.5,32.4,16.4,7.3,5.7,2.7,"NH",2009,0.627954696616138,0.00988691253254914
"31",31,"0400000US34",34,"New Jersey",5.6,7.6,29.9,16.6,6.2,21.5,12.7,86.8,34.1,18.6,8.6,5.7,2.7,"NJ",2009,0.618984474097717,0.00762528309631737
"32",32,"0400000US35",35,"New Mexico",8,9.9,27.4,22.5,7.1,14.5,10.6,82.1,25.1,30.9,15.2,10.6,4.8,"NM",2009,0.617777320988215,0.00848621367443457
"33",33,"0400000US36",36,"New York",7,8.8,28.6,15.6,8.1,18.2,13.6,84.2,31.8,26,12.4,8.7,4.5,"NY",2009,0.601475703512923,0.00897860163603724
"34",34,"0400000US37",37,"North Carolina",6.3,10.7,28.6,20.4,8.2,17.3,8.5,83,25.8,26.4,13,8.9,3.3,"NC",2009,0.653882968511448,0.00791965458158188
"35",35,"0400000US38",38,"North Dakota",6,5.2,28.5,22.9,11.8,19.1,6.5,88.7,25.6,21.5,10,7,3.3,"ND",2009,0.661680731087963,0.0106495252414993
"36",36,"0400000US39",39,"Ohio",3.5,9.7,36.3,19.8,7.1,15,8.6,86.8,23.6,24.2,11.2,8.7,3.5,"OH",2009,0.66732277997805,0.00746022847182771
"37",37,"0400000US40",40,"Oklahoma",5,10.2,32.7,23,6.7,15.1,7.3,84.8,22.4,26.1,14,9.9,3.9,"OK",2009,0.674370578198831,0.00753828806844842
"38",38,"0400000US41",41,"Oregon",4.3,7.5,26,26.1,8,18.1,10.2,88.3,28.3,22.5,12.4,9.8,5,"OR",2009,0.606527180498268,0.0109880243199144
"39",39,"0400000US42",42,"Pennsylvania",4.1,9.1,38.1,15.6,7.2,16.1,9.9,86.9,26,21.9,10.3,7.4,3.4,"PA",2009,0.64032892449307,0.00790774699008602
"40",40,"0400000US44",44,"Rhode Island",7,9.6,28.7,17.2,7.7,18.2,11.5,83.4,29.8,21.5,9.8,6.6,3.3,"RI",2009,0.616331596898156,0.00940423392695611
"41",41,"0400000US45",45,"South Carolina",6.2,11.6,31.5,19.1,8.2,15.3,8.2,82.2,23.5,27.8,13.7,8.3,3.6,"SC",2009,0.658464753514923,0.0089210921802565
"42",42,"0400000US46",46,"South Dakota",5.1,6.1,33.3,21.6,9.4,17.6,7,88.8,24.6,26,11,8.6,3.3,"SD",2009,0.671197970396074,0.00978331632489896
"43",43,"0400000US47",47,"Tennessee",7.1,11.1,33.5,20.1,5.8,14.6,7.8,81.8,22.4,28.1,13.4,8.8,3.4,"TN",2009,0.6901493674584,0.00985341001147442
"44",44,"0400000US48",48,"Texas",10.3,10.4,26.2,21.5,6.2,17,8.3,79.3,25.4,27.6,13.4,8.5,3.8,"TX",2009,0.668134811037884,0.00854247159480451
"45",45,"0400000US49",49,"Utah",3.1,6.5,25.4,27,9.2,19.5,9.3,90.4,28.7,18.7,9.1,6.5,3.7,"UT",2009,0.579560606651692,0.00783090861981538
"46",46,"0400000US50",50,"Vermont",3.5,6.3,32.3,16.5,8.4,20.1,12.8,90.1,32.9,22.2,9.5,7.6,3.9,"VT",2009,0.582185209962552,0.00833111296029008
"47",47,"0400000US51",51,"Virginia",5.5,8.7,26.3,19.4,6.6,19.8,13.6,85.8,33.4,21.1,9.3,5.8,2.5,"VA",2009,0.606215024084265,0.0131664791934998
