GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
0400000US35,35,New Mexico,1296627,7.8,9.5,27.0,23.1,7.2,14.6,10.8,82.7,25.5,31.3,15.6,11.2,4.9,30154,16841,24658,29720,42203,53693
0400000US36,36,New York,12914436,7.0,8.6,28.2,15.9,8.2,18.3,13.8,84.4,32.1,26.6,12.7,9.0,4.6,38347,20020,29259,36286,51933,66329
0400000US37,37,North Carolina,6121611,6.1,10.3,28.2,20.9,8.3,17.4,8.7,83.6,26.1,27.5,13.4,9.3,3.4,31350,17927,25668,30914,43914,56461
0400000US38,38,North Dakota,429333,5.6,5.0,28.1,23.1,11.9,19.4,6.9,89.4,26.3,22.0,10.2,7.6,3.7,31525,18416,25904,30561,38667,52230
0400000US39,39,Ohio,7655994,3.4,9.2,35.8,20.1,7.3,15.3,8.8,87.4,24.1,24.7,11.5,9.3,3.6,33021,18727,27078,32177,46608,60809
0400000US40,40,Oklahoma,2380819,4.8,9.8,32.6,23.5,6.7,15.2,7.4,85.4,22.6,25.8,14.2,9.8,4.0,30393,18544,24749,30032,40897,51499
0400000US41,41,Oregon,2543151,4.3,7.2,25.6,26.3,8.1,18.3,10.4,88.6,28.6,23.2,12.7,10.2,5.1,31808,19248,26210,31002,42783,54506
0400000US42,42,Pennsylvania,8558693,4.0,8.6,37.8,15.9,7.3,16.3,10.1,87.4,26.4,22.3,10.5,7.6,3.4,34670,20484,27665,33815,47289,63230
0400000US44,44,Rhode Island,708598,7.0,9.4,28.2,17.5,7.6,18.5,11.9,83.7,30.3,21.9,10.4,7.0,3.7,37450,22249,30273,35708,50212,65726
0400000US45,45,South Carolina,2981382,5.9,11.1,31.2,19.5,8.3,15.5,8.4,83.0,24.0,28.8,14.2,9.0,3.6,30860,18116,25600,31057,42192,52373
0400000US46,46,South Dakota,518285,4.9,5.8,32.7,21.7,9.5,18.0,7.3,89.3,25.3,26.8,11.5,8.5,3.7,30049,19355,25271,29122,36891,49501
0400000US47,47,Tennessee,4156132,6.8,10.7,33.4,20.4,6.0,14.7,8.0,82.5,22.7,28.3,14.0,9.1,3.7,30754,18105,25293,31136,43423,54189
0400000US48,48,Texas,15116371,10.0,10.0,26.0,22.0,6.3,17.3,8.5,80.0,25.8,27.6,13.6,8.6,3.8,32413,18064,26102,33016,49462,62261
0400000US49,49,Utah,1503241,3.2,6.2,24.8,27.1,9.2,19.9,9.5,90.6,29.4,20.2,9.4,7.0,4.0,33554,21026,27752,31595,42407,61876
0400000US50,50,Vermont,426409,3.3,6.2,32.0,16.8,8.4,20.2,13.1,90.6,33.3,22.4,9.7,7.9,4.0,32571,20605,27275,31684,39855,51010
0400000US51,51,Virginia,5208536,5.5,8.4,26.0,19.6,6.7,19.9,13.9,86.1,33.8,21.3,9.6,6.2,2.5,39409,21001,29064,36137,53522,75613
0400000US53,53,Washington,4360316,4.1,6.4,24.3,24.9,9.4,20.0,11.0,89.6,31.0,23.5,11.1,8.5,3.9,37830,20481,30498,35839,51102,63216
0400000US54,54,West Virginia,1282621,6.8,11.3,41.3,17.6,5.8,10.6,6.7,81.9,17.3,28.5,13.5,10.2,4.0,29053,17689,24868,28597,40128,50354
0400000US55,55,Wisconsin,3739243,3.7,6.9,34.0,20.6,9.0,17.1,8.6,89.4,25.8,21.3,9.4,7.0,3.0,34080,20493,28392,33081,45248,58634
0400000US56,56,Wyoming,357859,2.7,5.9,31.3,26.7,9.8,15.7,7.8,91.3,23.6,17.9,8.6,6.1,3.1,33734,20353,30108,31871,43306,54353
0400000US72,72,Puerto Rico,2429729,21.7,10.8,25.2,12.4,8.5,15.8,5.7,67.6,21.4,61.9,44.1,30.5,11.6,17011,10505,13555,16826,25658,36708
